year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2021,ME,442,104629,95656459,10117277,6641825,5483689,2.61406,2008237,3475452,4543.522624,19.19388506
2021,MI,23462,4287141,2400279635,221940766,143283142,75899806,33.024243,-2757818,78657624,-117.5440286,-0.64327672
2021,MN,75085,17742306,10030261545,833661907,511191506,526304255,64.20475,203833854,322470401,2714.708051,11.4885773
2021,MO,50716,9962684,4341386906,501517060,332170706,236426517,22.57602,67080163,169346354,1322.66273,6.733141692
2021,MS,7307,3600333,1539520989,140852259,102254479,122771275,32.183973,84173495,38597780,11519.56959,23.3793638
2021,MT,13069,12072980,1263975804,200915524,123549081,510633448,237.277921,433267005,77366443,33152.26911,35.88732898
2021,NC,25193,3472060,1928692661,274928595,177014984,169272139,72.655239,71358528,97913611,2832.474417,20.55221626
2021,ND,54841,24102145,7374880729,1084617807,744924025,1791254167,151.501127,1451560385,339693782,26468.5251,60.22536106
2021,NE,78689,19666263,9201441401,747099020,446980678,190327964,32.318761,-109790378,300118342,-1395.244291,-5.58267618
2021,NH,76,7850,5038172,427319,276536,213322,4.782619,62539,150783,822.8815789,7.966751592
2021,NJ,987,154187,95490875,7965663,5577733,1792942,6.729936,-594988,2387930,-602.8247214,-3.858872668
2021,NM,2441,23844729,524441990,100090066,55859901,131090985,34.007725,86860820,44230165,35584.11307,3.642768177
2021,NV,496,32258997,411845245,103557003,55475763,113681582,18.257246,65600342,48081240,132258.754,2.033551818
2021,NY,4569,1107274,658236955,69183291,46146259,34275898,25.675611,11238866,23037032,2459.808711,10.15003152
2021,OH,47310,7244276,4112805130,360713040,221498097,35737314,5.878859,-103477629,139214943,-2187.225301,-14.28405392
2021,OK,17774,7015634,961245544,207883380,139805384,100281735,33.092378,32203739,68077996,1811.845336,4.590282076
2021,OR,3773,11800635,744782337,85041530,46651375,160953163,122.14418,122563008,38390155,32484.23218,10.38613668
2021,PA,8049,1191253,568876270,70185673,47823029,28888354,28.911452,6525710,22362644,810.747919,5.478021881
2021,RI,30,1223,1307699,103926,67311,168253,8.539401,131638,36615,4387.933333,107.635323
2021,SC,8172,1166490,614236639,121180760,78833706,33530506,14.5353,-8816548,42347054,-1078.872736,-7.558185668
2021,SD,50326,17890726,6215951966,838836711,593430040,691759357,83.875264,446352686,245406671,8869.226364,24.94883025
2021,TN,10951,2776102,1228833903,116061735,79389050,40904791,46.946972,4232106,36672685,386.4584056,1.524477847
2021,TX,77115,47435737,5867226885,1379379461,917575890,1160472039,92.446524,698668468,461803571,9060.085171,14.72873644
2021,UT,1211,18622584,161618313,33986836,18364757,53542640,25.395488,37920561,15622079,31313.42775,2.036267416
2021,VA,7802,1225528,603646579,78706249,51384761,37015575,54.973106,9694087,27321488,1242.513074,7.91013098
2021,VT,284,79972,31589574,3417474,2195272,2074893,15.551269,852691,1222202,3002.433099,10.66236933
2021,WA,11265,4637009,2918726872,150542602,81247839,415743085,173.982966,346448322,69294763,30754.40053,74.71374802
2021,WI,32760,5301992,3000831892,305734849,203026832,69342432,63.575562,-33365585,102708017,-1018.485501,-6.293028168
2021,WV,316,53989,25801759,3267139,2119443,2294566,6.85991,1146870,1147696,3629.335443,21.24266054
2021,WY,1951,10866018,219687876,32971557,18412200,32011386,20.31673,17452029,14559357,8945.171194,1.606110813
2022,AK,10,4464,714206,142033,99505,249607,8.091099,207079,42528,20707.9,46.38866487
2022,AL,7906,1419424,806608701,107669922,72919483,77451747,22.199513,42701308,34750439,5401.126739,30.08354657
2022,AR,16884,5547388,2812825318,255532041,178758996,283141667,18.288848,206368622,76773045,12222.73288,37.20104345
